gene_id	root_og
NP_459045.1	COG0583
NP_459057.1	COG4565
NP_459073.1	2BXKV
NP_459109.1	COG4977
NP_459114.1	COG4533
NP_459120.1	COG0583
NP_459121.1	COG0028
NP_459122.1	COG0440
NP_459123.1	COG1609
NP_459124.1	COG2001
NP_459156.1	COG2186
NP_459169.1	COG1349
NP_459214.1	COG0265
NP_459215.1	COG3835
NP_459349.1	COG0789
NP_459362.1	COG3829
NP_459392.1	COG0745
NP_459410.1	COG1327
NP_459425.1	COG2188
NP_459442.1	COG0271
NP_459444.1	COG0740
NP_459445.1	COG1219
NP_459446.1	COG0466
NP_459447.1	COG0776
NP_459472.1	COG1309
NP_459494.1	COG0789
NP_459509.1	COG0583
NP_459511.1	COG1414
NP_459544.1	COG2197
NP_459545.1	COG2197
NP_459555.1	COG4977
NP_459563.1	COG1221
NP_459572.1	COG1309
NP_459573.1	COG2207
NP_459618.1	COG4565
NP_459621.1	COG1278
NP_459667.1	COG1846
NP_459677.1	COG0583
NP_459678.1	COG0735
NP_459687.1	COG0745
NP_459758.1	COG2005
NP_459797.1	COG1309
NP_459812.1	COG1321
NP_459841.1	COG1349
NP_459846.1	COG3226
NP_459935.1	COG1522
NP_459957.1	COG0776
NP_460046.1	COG3070
NP_460094.1	COG1309
NP_460099.1	COG1737
NP_460113.1	COG2197
NP_460183.1	COG1309
NP_460201.1	COG0745
NP_460245.1	COG2207
NP_460281.1	COG1917
NP_460302.1	COG0292
NP_460305.1	COG0776
NP_460314.1	COG1806
NP_460356.1	COG2197
NP_460393.1	COG1609
NP_460400.1	COG1309
NP_460435.1	COG0745
NP_460448.1	COG1940
NP_460480.1	COG1846
NP_460483.1	COG0583
NP_460547.1	COG1802
NP_460557.1	COG1167
NP_460564.1	COG1396
NP_460587.1	COG1937
NP_460618.1	COG0350
NP_460641.1	COG3283
NP_460649.1	COG1221
NP_460671.1	COG1048
NP_460672.1	COG0583
NP_460723.1	COG2197
NP_460761.1	COG2186
NP_460798.1	COG1414
NP_460844.1	COG1737
NP_460900.1	COG2197
NP_460903.1	COG2197
NP_460908.1	2DBMG
NP_460912.1	COG1344
NP_461076.1	COG0745
NP_461103.1	COG3279
NP_461105.1	COG0789
NP_461136.1	COG1609
NP_461146.1	COG0583
NP_461189.1	COG2197
NP_461208.1	COG0350
NP_461212.1	COG2197
NP_461272.1	COG0583
NP_461303.1	COG3829
NP_461355.1	COG0583
NP_461359.1	COG0583
NP_461430.1	COG1393
NP_461479.1	COG1959
NP_461492.1	COG3710
NP_461497.1	COG2204
NP_461507.1	COG1737
NP_461510.1	COG0583
NP_461572.1	COG3086
NP_461573.1	COG3026
NP_461603.1	COG0335
NP_461725.1	COG2916
NP_461729.1	COG1167
NP_461739.1	COG1846
NP_461747.1	COG1551
NP_461748.1	COG0013
NP_461757.1	COG4578
NP_461758.1	COG1349
NP_461760.1	COG3604
NP_461780.1	COG3604
NP_461787.1	COG2771
NP_461788.1	COG2207
NP_461796.1	COG2207
NP_461797.1	COG0457
NP_461820.1	COG2207
NP_461841.1	COG1846
NP_461879.1	COG0642
NP_461898.1	COG1349
NP_461901.1	COG0583
NP_461928.1	COG1609
NP_461929.1	COG1609
NP_461931.1	COG0583
NP_461940.1	COG1937
NP_461980.1	COG0583
NP_462036.1	COG0583
NP_462078.1	COG2207
NP_462092.1	COG0745
NP_462093.1	COG0642
NP_462129.1	COG1695
NP_462149.1	COG0583
NP_462159.1	COG0583
NP_462250.1	COG2186
NP_462255.1	COG0102
NP_462258.1	COG0265
NP_462259.1	COG0265
NP_462267.1	COG1802
NP_462270.1	COG1438
NP_462289.1	COG0511
NP_462295.1	COG2901
NP_462299.1	COG1309
NP_462316.1	COG0789
NP_462356.1	COG2964
NP_462369.1	COG0664
NP_462405.1	COG0745
NP_462418.1	COG2909
NP_462419.1	COG3041
NP_462420.1	COG3077
NP_462424.1	COG4650
NP_462425.1	COG1349
NP_462444.1	COG1609
NP_462473.1	COG0742
NP_462485.1	COG0864
NP_462503.1	COG2188
NP_462550.1	COG1278
NP_462562.1	COG1609
NP_462567.1	COG1414
NP_462578.1	COG2207
NP_462593.1	COG2186
NP_462684.1	COG2188
NP_462689.1	COG2197
NP_462701.1	COG0583
NP_462724.1	COG0745
NP_462730.1	COG2186
NP_462738.1	COG0593
NP_462760.1	COG0449
NP_462775.1	COG1522
NP_462785.1	COG1609
NP_462787.1	COG2186
NP_462799.1	COG0583
NP_462849.1	COG0583
NP_462929.1	COG4977
NP_462930.1	COG1917
NP_462940.1	COG0745
NP_462954.1	COG2390
NP_462975.1	COG1609
NP_462980.1	COG3060
NP_463004.1	COG0583
NP_463012.1	COG0340
NP_463020.1	COG0244
NP_463034.1	COG3160
NP_463043.1	COG2204
NP_463052.1	COG1414
NP_463102.1	COG1974
NP_463106.1	COG0735
NP_463130.1	COG2207
NP_463131.1	COG0789
NP_463135.1	COG0583
NP_463157.1	COG0745
NP_463160.1	COG2207
NP_463162.1	COG2169
NP_463168.1	COG4565
NP_463180.1	COG2207
NP_463228.1	COG1959
NP_463242.1	COG1349
NP_463263.1	COG1733
NP_463309.1	COG3711
NP_463310.1	COG3077
NP_463311.1	COG2026
NP_463315.1	COG1609
NP_463318.1	COG0251
NP_463323.1	COG1438
NP_463337.1	COG0260
NP_463341.1	COG1609
NP_463366.1	COG2186
NP_463370.1	COG0583
NP_463406.1	COG2197
NP_463439.1	COG2973
NP_463442.1	COG2207
NP_463444.1	COG0745
NP_463454.1	COG0745
NP_490500.1	COG2207
NP_463238.3	COG1960
NP_460069.3	COG0745
NP_447555.1	COG0506
NP_460407.3	COG1846
NP_460479.4	COG2207
NP_460619.3	COG0664
NP_462000.3	COG2186
NP_462788.3	COG0583
NP_462910.3	COG5499
NP_463006.3	COG1309
NP_463179.3	COG2771
NP_463407.3	COG2197
NP_463436.5	COG1056
