gene_id	root_og
NP_414547.1	COG3022
NP_414548.1	COG1115
NP_414549.1	COG0176
NP_414550.1	COG0521
NP_414551.1	COG1584
NP_414552.1	COG4735
NP_414554.1	29AC0
NP_414555.1	COG0443
NP_414556.1	COG0484
NP_414560.1	COG3004
NP_414561.1	COG0583
NP_414564.1	COG0268
NP_414565.1	2EFES
NP_414566.1	COG0196
NP_414567.1	COG0060
NP_414568.1	COG0597
NP_414569.1	COG1047
NP_414570.1	COG0761
NP_414571.1	COG1957
NP_414572.1	COG0289
NP_414573.1	COG0505
NP_414574.1	COG0458
NP_414580.1	COG1804
NP_414581.1	COG1960
NP_414582.1	COG1292
NP_414584.1	COG2025
NP_414585.1	COG0644
NP_414586.1	COG2440
NP_414587.1	COG2271
NP_414588.1	COG2249
NP_414589.1	COG0475
NP_414590.1	COG0262
NP_414591.1	COG0639
NP_414592.1	COG2967
NP_414593.1	COG0030
NP_414594.1	COG1995
NP_414595.1	COG0760
NP_414596.1	COG1452
NP_414597.1	COG1076
NP_414600.1	COG0564
NP_414601.1	COG0553
NP_414602.1	COG0417
NP_414603.1	COG0235
NP_414604.1	COG2160
NP_414605.1	COG1069
NP_414606.1	COG4977
NP_414607.1	COG0586
NP_414608.1	COG3840
NP_414609.1	COG1178
NP_414610.1	COG4143
NP_414611.1	COG4533
NP_414613.1	COG0066
NP_414614.1	COG0065
NP_414616.1	COG0119
NP_414620.1	COG0440
NP_414622.1	COG1609
NP_414623.1	COG2001
NP_414624.1	COG0275
NP_414625.1	COG3116
NP_414626.1	COG0768
NP_414627.1	COG0769
NP_414628.1	COG0770
NP_414629.1	COG0472
NP_414630.1	COG0771
NP_414631.1	COG0772
NP_414632.1	COG0707
NP_414633.1	COG0773
NP_414634.1	COG1181
NP_414635.1	COG1589
NP_414636.1	COG0849
NP_414637.1	COG0206
NP_414638.1	COG0774
NP_414640.1	COG0653
NP_414641.1	COG0494
NP_414643.1	COG3024
NP_414644.1	COG4582
NP_414645.1	COG0237
NP_414646.1	COG0516
NP_414648.1	COG1459
NP_414649.1	COG2804
NP_414650.1	COG4969
NP_414651.1	COG0157
NP_414652.1	COG3023
NP_414653.1	COG3725
NP_414654.1	COG1113
NP_414655.1	COG2186
NP_414656.1	COG2609
NP_414657.1	COG0508
NP_414658.1	COG1249
NP_414659.1	COG3064
NP_414660.1	COG1049
NP_414662.1	COG1586
NP_414663.1	COG0421
NP_414665.1	COG2132
NP_414666.1	COG4993
NP_414668.1	COG0288
NP_414669.1	COG1131
NP_414670.1	COG0842
NP_414671.1	COG2893
NP_414672.1	COG0726
NP_414673.1	COG0853
NP_414675.1	COG0414
NP_414676.1	COG0413
NP_414684.1	COG0801
NP_414687.1	COG1734
NP_414688.1	COG1489
NP_414691.1	COG0744
NP_414692.1	COG4774
NP_414693.1	COG1120
NP_414694.1	COG0614
NP_414695.1	COG0609
NP_414696.1	COG0001
NP_414697.1	COG0038
NP_414698.1	COG0316
NP_414701.1	COG0775
NP_414703.1	COG0265
NP_414708.1	COG2171
NP_414709.1	COG2844
NP_414716.1	COG0020
NP_414720.1	COG2825
NP_414721.1	COG1044
NP_414722.1	COG0764
NP_414723.1	COG1043
NP_414726.1	COG0587
NP_414727.1	COG0825
NP_414728.1	COG1982
NP_414732.1	COG4681
NP_414733.1	COG1186
NP_414734.1	COG3015
NP_414739.1	COG1464
NP_414740.1	COG2011
NP_414741.1	COG1135
NP_414743.1	COG0656
NP_414745.1	COG3021
NP_414760.1	COG3041
NP_414761.1	COG3077
NP_414766.1	COG0389
NP_414767.1	COG2161
NP_414768.1	28S4M
NP_414769.1	COG0454
NP_414772.1	COG2195
NP_414773.1	COG2236
NP_414774.1	COG1073
NP_414776.1	COG3203
NP_414805.1	COG3507
NP_414806.1	COG1414
NP_414807.1	COG0078
NP_414811.1	2CZQX
NP_414822.1	COG0727
NP_414830.1	COG0254
NP_414840.1	COG0247
NP_414841.1	COG1139
NP_414845.1	COG2303
NP_414846.1	COG1012
NP_414848.1	COG1292
NP_414849.1	COG2200
NP_414857.1	COG0549
NP_414864.1	COG3829
NP_414865.1	COG2513
NP_414867.1	COG0372
NP_414868.1	COG2079
NP_414869.1	COG0365
NP_414870.1	COG1457
NP_414871.1	COG0402
NP_414873.1	COG0288
NP_414874.1	COG1513
NP_414875.1	COG2807
NP_414876.1	COG0110
NP_414877.1	COG2223
NP_414878.1	COG3250
NP_414881.1	COG0654
NP_414882.1	COG3384
NP_414885.1	COG4569
NP_414886.1	COG0119
NP_414890.1	COG1062
NP_414900.1	COG4525
NP_414901.1	COG0600
NP_414902.1	COG2175
NP_414911.1	COG1133
NP_414912.1	28HWK
NP_414916.1	2CMK9
NP_414919.1	COG2199
NP_414922.1	COG0703
NP_414923.1	2E4SC
NP_414924.1	COG4126
NP_414931.1	COG0419
NP_414932.1	COG0420
NP_414933.1	COG0745
NP_414934.1	COG5002
NP_414935.1	COG1114
NP_414939.1	COG0809
NP_414945.1	COG3248
NP_414955.1	COG0142
NP_414959.1	COG1893
NP_414962.1	COG0109
NP_414963.1	COG3125
NP_414964.1	COG1845
NP_414965.1	COG0843
NP_414966.1	COG1622
NP_414967.1	COG2223
NP_414971.1	COG0740
NP_414972.1	COG1219
NP_414973.1	COG0466
NP_414974.1	COG0776
NP_414975.1	COG0760
NP_414977.1	COG0824
NP_414982.1	COG1132
NP_414983.1	COG1132
NP_414984.1	COG0347
NP_414985.1	COG0004
NP_414993.1	2CN5N
NP_414994.1	28PF7
NP_414995.1	COG0841
NP_414996.1	COG0845
NP_414997.1	COG1309
NP_415006.1	COG0326
NP_415008.1	COG0276
NP_415011.1	COG1226
NP_415017.1	COG2217
NP_415018.1	COG2066
NP_415019.1	COG0531
NP_415020.1	COG0789
NP_415028.1	COG4181
NP_415036.1	COG2603
NP_415037.1	COG0583
NP_415038.1	COG3194
NP_415039.1	COG1414
NP_415040.1	COG3960
NP_415041.1	COG3622
NP_415042.1	COG2084
NP_415045.1	COG0044
NP_415047.1	COG1929
NP_415048.1	COG3257
NP_415049.1	COG0624
