gene_id	root_og
NP_459010.1	COG3022
NP_459011.1	COG1115
NP_459012.1	COG0176
NP_459013.1	COG0521
NP_459014.1	COG1584
NP_459015.1	COG4735
NP_459016.1	29AC0
NP_459017.1	COG0443
NP_459018.1	COG0484
NP_459019.1	COG0583
NP_459020.1	2BFIP
NP_459021.1	COG3926
NP_459022.1	COG3710
NP_459023.1	COG3325
NP_459024.1	COG3979
NP_459025.1	COG0664
NP_459026.1	COG3539
NP_459027.1	COG3121
NP_459028.1	COG3188
NP_459029.1	COG3539
NP_459030.1	COG3539
NP_459031.1	COG3539
NP_459032.1	COG3121
NP_459033.1	COG1651
NP_459034.1	COG3710
NP_459035.1	COG0583
NP_459036.1	COG3710
NP_459037.1	28MBK
NP_459038.1	COG0737
NP_459039.1	28ICJ
NP_459040.1	COG3119
NP_459041.1	COG0641
NP_459042.1	COG3677
NP_459043.1	28MBK
NP_459044.1	COG3004
NP_459045.1	COG0583
NP_459046.1	COG1501
NP_459047.1	COG2211
NP_459048.1	COG0268
NP_459049.1	2EFES
NP_459050.1	COG0196
NP_459051.1	COG0060
NP_459052.1	COG0597
NP_459053.1	COG1047
NP_459054.1	COG0761
NP_459055.1	2DC1S
NP_459056.1	COG1957
NP_459057.1	COG4565
NP_459058.1	COG3290
NP_459059.1	COG1883
NP_459060.1	COG0511
NP_459061.1	COG3630
NP_459062.1	COG3493
NP_459063.1	COG3053
NP_459064.1	COG3052
NP_459065.1	COG2301
NP_459066.1	COG3051
NP_459067.1	COG3697
NP_459068.1	COG1767
NP_459069.1	COG0289
NP_459071.1	COG0505
NP_459072.1	COG0458
NP_459073.1	2BXKV
NP_459074.1	COG0663
NP_459075.1	COG1024
NP_459076.1	COG0318
NP_459077.1	COG1804
NP_459078.1	COG1960
NP_459079.1	COG1292
NP_459080.1	COG2086
NP_459081.1	COG2025
NP_459082.1	COG0644
NP_459083.1	COG2440
NP_459084.1	COG2271
NP_459085.1	2E9MC
NP_459086.1	2F7MZ
NP_459087.1	2E456
NP_459089.1	COG3119
NP_459090.1	COG2249
NP_459091.1	COG0475
NP_459092.1	COG0262
NP_459093.1	COG0639
NP_459094.1	COG2967
NP_459095.1	COG0030
NP_459096.1	COG1995
NP_459097.1	COG0760
NP_459098.1	COG1452
NP_459099.1	COG1076
NP_459100.1	COG0564
NP_459101.1	COG0553
NP_459102.1	COG0417
NP_459103.1	COG1434
NP_459105.1	2C87Y
NP_459106.1	COG0235
NP_459107.1	COG2160
NP_459108.1	COG1069
NP_459109.1	COG4977
NP_459110.1	COG0586
NP_459111.1	COG3840
NP_459112.1	COG1178
NP_459113.1	COG4143
NP_459114.1	COG4533
NP_459115.1	COG0066
NP_459116.1	COG0065
NP_459117.1	COG0473
NP_459118.1	COG0119
NP_459120.1	COG0583
NP_459121.1	COG0028
NP_459122.1	COG0440
NP_459123.1	COG1609
NP_459124.1	COG2001
NP_459125.1	COG0275
NP_459126.1	COG3116
NP_459127.1	COG0768
NP_459128.1	COG0769
NP_459129.1	COG0770
NP_459130.1	COG0472
NP_459131.1	COG0771
NP_459132.1	COG0772
NP_459133.1	COG0707
NP_459134.1	COG0773
NP_459135.1	COG1181
