gene_id	root_og
NP_414561.1	COG0583
NP_414606.1	COG4977
NP_414611.1	COG4533
NP_414620.1	COG0440
NP_414622.1	COG1609
NP_414623.1	COG2001
NP_414655.1	COG2186
NP_414703.1	COG0265
NP_414760.1	COG3041
NP_414761.1	COG3077
NP_414806.1	COG1414
NP_414839.1	COG2207
NP_414849.1	COG2200
NP_414864.1	COG3829
NP_414933.1	COG0745
NP_414947.1	COG1327
NP_414971.1	COG0740
NP_414972.1	COG1219
NP_414973.1	COG0466
NP_414974.1	COG0776
NP_414997.1	COG1309
NP_415020.1	COG0789
NP_415037.1	COG0583
NP_415039.1	COG1414
NP_415068.1	COG2197
NP_415096.1	COG2207
NP_415098.1	COG2207
NP_415103.1	COG0745
NP_415153.1	COG4565
NP_415156.1	COG1278
NP_415202.1	COG1846
NP_415209.1	COG0735
NP_415222.1	COG0745
NP_415258.1	COG2188
NP_415282.1	COG2005
NP_415338.1	COG1321
NP_415361.1	COG1349
NP_415367.1	COG3226
NP_415409.1	COG1522
NP_415432.1	COG0776
NP_415479.1	COG3070
NP_415515.1	COG0745
NP_415533.1	COG1309
NP_415534.1	COG0506
NP_415558.1	COG2197
NP_415647.1	COG0642
NP_415648.1	COG0745
NP_415680.1	COG0789
NP_415705.1	COG2186
NP_415739.1	COG2197
NP_415791.1	COG0583
NP_415792.1	COG1048
NP_415815.1	COG1396
NP_415836.1	COG1609
NP_415839.1	COG3283
NP_415844.1	COG0583
NP_415850.1	COG0664
NP_415902.1	COG2207
NP_415917.1	COG3327
NP_415951.1	COG1396
NP_415956.1	COG1167
NP_416016.1	COG2207
NP_416025.1	COG1396
NP_416029.1	COG2390
NP_416043.1	COG0583
NP_416081.1	COG2026
NP_416082.1	COG3077
NP_416088.1	COG1396
NP_416111.1	COG1940
NP_416112.1	COG0583
NP_416135.1	COG1309
NP_416137.1	COG1609
NP_416175.1	COG1609
NP_416218.1	COG1806
NP_416227.1	COG0776
NP_416231.1	COG0292
NP_416249.1	COG1917
NP_416284.1	COG1349
NP_416304.1	COG2207
NP_416341.1	COG1414
NP_416367.1	COG1737
NP_416424.1	COG2197
NP_416426.1	COG2197
NP_416433.1	COG1344
NP_416492.1	COG0583
NP_416493.1	COG0583
NP_416583.1	COG0745
NP_416608.1	COG1937
NP_416631.1	COG0789
NP_416656.1	COG1609
NP_416662.1	COG0583
NP_416697.1	COG2197
NP_416717.1	COG0350
NP_416721.1	COG2197
NP_416724.1	COG2204
NP_416792.1	COG0583
NP_416865.1	COG0583
NP_416870.1	COG2197
NP_416900.1	COG0583
NP_416922.1	COG1737
NP_416990.1	COG1393
NP_417026.1	COG1959
NP_417032.1	COG0583
NP_417049.1	COG2204
NP_417065.1	COG3086
NP_417066.1	COG3026
NP_417097.1	COG0335
NP_417153.1	COG0640
NP_417155.1	COG2916
NP_417169.1	COG1846
NP_417177.1	COG0013
NP_417186.1	COG4578
NP_417187.1	COG1349
NP_417211.1	COG3604
NP_417248.1	COG1954
NP_417262.1	COG2337
NP_417263.1	COG2336
NP_417266.1	COG0642
NP_417285.1	COG1349
NP_417288.1	COG0583
NP_417314.1	COG1609
NP_417316.1	COG0583
NP_417329.1	COG0457
NP_417391.1	COG0583
