gene_id	root_og
NP_387882.1	COG0593
NP_387918.1	COG2002
NP_387928.1	COG0503
NP_387929.1	COG0251
NP_387937.1	COG2002
NP_387964.1	COG4463
NP_388035.1	COG0489
NP_388045.1	COG0614
NP_388050.1	COG1737
NP_388054.1	COG1595
NP_388059.1	COG0449
NP_388062.1	COG2169
NP_388104.1	COG1917
NP_388119.1	COG2188
NP_388127.1	COG0784
NP_388150.1	COG1309
NP_388156.1	COG3279
NP_388238.1	COG1167
NP_388244.1	COG0583
NP_388257.1	COG0745
NP_388270.1	COG0640
NP_388271.1	COG1167
NP_388278.1	COG1349
NP_388297.1	COG3711
NP_388306.1	COG1522
NP_388313.1	COG0531
NP_388327.1	COG4565
NP_388358.1	COG1846
NP_388363.1	COG1396
NP_388393.1	COG1278
NP_388405.1	COG1167
NP_388414.1	COG0640
NP_388420.1	COG0640
NP_388423.1	COG2197
NP_388427.1	COG0789
NP_388466.1	COG2188
NP_388478.1	COG2344
NP_388495.1	COG0457
NP_388540.1	COG4496
NP_388582.1	COG2207
NP_388603.1	COG1846
NP_388620.1	COG0789
NP_388640.1	COG4565
NP_388663.1	COG2188
NP_388691.1	COG3284
NP_388700.1	COG1737
NP_388715.1	COG1695
NP_388718.1	COG1309
NP_388742.1	COG1988
NP_388753.1	COG0735
NP_388780.1	COG1846
NP_388808.1	COG1954
NP_388814.1	COG2197
NP_388819.1	COG1959
NP_388829.1	COG1167
NP_388880.1	COG1846
NP_388896.1	COG1309
NP_388923.1	COG4903
NP_388937.1	COG1609
NP_388963.1	COG1917
NP_388964.1	COG1609
NP_388994.1	2AYP4
NP_389013.1	2C7Y5
NP_389047.1	COG0819
NP_389048.1	COG0352
NP_389119.1	COG1609
NP_389133.1	COG1396
NP_389138.1	COG1595
NP_389192.1	COG2076
NP_389198.1	COG1846
NP_389208.1	COG0745
NP_389214.1	COG0789
NP_389227.1	COG0861
NP_389231.1	28PJY
NP_389237.1	COG0350
NP_389250.1	COG1846
NP_389275.1	2EURH
NP_389297.1	COG0583
NP_389307.1	29AGR
NP_389321.1	COG1349
NP_389356.1	COG1595
NP_389392.1	2C8MW
NP_389396.1	COG2001
NP_389430.1	COG2065
NP_389470.1	COG1349
NP_389499.1	COG4465
NP_389589.1	COG3226
NP_389616.1	COG1923
NP_389627.1	COG0789
NP_389668.1	COG1974
NP_389683.1	COG1048
NP_389793.1	COG0640
NP_389801.1	COG2197
NP_389835.1	COG1733
NP_390061.1	COG1221
NP_390094.1	COG1609
NP_390125.1	COG0340
NP_390160.1	COG0776
NP_390240.1	COG1396
NP_390290.1	COG3290
NP_390302.1	COG0745
NP_390305.1	COG1438
NP_390315.1	COG0511
NP_390341.1	COG1396
