gene_id	root_og
WP_000002071.1	COG2313
WP_000003759.1	COG0640
WP_000003870.1	COG2065
WP_000005212.1	COG5582
WP_000007967.1	COG0398
WP_000008673.1	COG0804
WP_000017736.1	COG1845
WP_000019734.1	COG1230
WP_000023319.1	COG1984
WP_000024139.1	COG2217
WP_000024827.1	COG0088
WP_000027919.1	COG0154
WP_000029196.1	COG4975
WP_000029430.1	COG2060
WP_000030072.1	COG0160
WP_000030811.1	COG0150
WP_000031401.1	COG0109
WP_000031490.1	COG0366
WP_000032657.1	COG4112
WP_000032740.1	COG0046
WP_000034716.1	COG0443
WP_000034728.1	COG0214
WP_000034961.1	COG2182
WP_000036633.1	COG0779
WP_000037322.1	COG0489
WP_000038968.1	COG0477
WP_000040051.1	COG1080
WP_000040063.1	COG0282
WP_000046602.1	COG0766
WP_000047009.1	COG3684
WP_000047255.1	COG1272
WP_000047343.1	COG0331
WP_000047811.1	COG0028
WP_000049145.1	COG0833
WP_000052781.1	COG0450
WP_000055337.1	COG4465
WP_000057594.1	COG0031
WP_000058389.1	COG0281
WP_000064078.1	COG0745
WP_000064778.1	COG0531
WP_000066053.1	COG0165
WP_000066931.1	COG1264
WP_000067352.1	COG1123
WP_000069098.1	COG0778
WP_000070866.1	COG0783
WP_000071351.1	COG4224
WP_000072149.1	COG0390
WP_000072681.1	COG5405
WP_000073180.1	COG0083
WP_000073195.1	COG1737
WP_000074011.1	COG0789
WP_000075704.1	COG3253
WP_000076036.1	COG0115
WP_000076661.1	COG2608
WP_000076690.1	COG1185
WP_000076930.1	COG0476
WP_000077317.1	COG0646
WP_000078092.1	COG3638
WP_000079317.1	COG2009
WP_000079447.1	COG1117
WP_000080028.1	COG0745
WP_000081231.1	COG0304
WP_000082539.1	COG0753
WP_000082559.1	COG3386
WP_000083807.1	COG2213
WP_000087385.1	COG0781
WP_000087561.1	COG4483
WP_000089941.1	COG0612
WP_000094583.1	COG0119
WP_000095328.1	COG0104
WP_000097322.1	COG0858
WP_000101976.1	COG0745
WP_000105070.1	COG0364
WP_000106141.1	COG0057
WP_000108668.1	COG0621
WP_000109877.1	COG0007
WP_000109906.1	COG1866
WP_000110007.1	COG0735
WP_000110253.1	COG0074
WP_000113265.1	COG4115
WP_000116228.1	COG0114
