gene_id	root_og
NP_214515.1	COG0593
NP_214516.1	COG0592
NP_214517.1	COG1195
NP_214520.1	COG0188
NP_214521.1	COG3266
NP_214523.1	COG0652
NP_214524.1	2ESQF
NP_214533.1	COG1716
NP_214546.1	COG0156
NP_214547.1	COG0236
NP_214548.1	COG3631
NP_214556.1	COG1846
NP_214560.1	COG1260
NP_214561.1	COG1695
NP_214563.1	2CQNK
NP_214567.1	COG0360
NP_214568.1	COG0629
NP_214570.1	COG0359
NP_214572.1	COG0305
NP_214573.1	COG4948
NP_214574.1	COG2110
NP_214583.1	COG1760
NP_214584.1	COG0112
NP_214585.1	COG3344
NP_214586.1	COG0577
NP_214587.1	COG0664
NP_214589.1	COG1168
NP_214593.1	COG1544
NP_214594.1	COG3467
NP_214595.1	COG0640
NP_214597.1	COG0651
NP_214598.1	COG0650
NP_214600.1	COG0651
NP_214601.1	COG3261
NP_214603.1	COG0500
NP_214605.1	COG0775
NP_214611.1	COG2175
NP_214612.1	2CJNX
NP_214613.1	COG0318
NP_214614.1	2B15P
NP_214615.1	COG1020
NP_214617.1	COG2217
NP_214618.1	COG0499
NP_214620.1	COG0523
NP_214622.1	2AYND
NP_214624.1	COG0705
NP_214626.1	COG0451
NP_214627.1	COG0279
NP_214628.1	COG0241
NP_214629.1	COG2605
NP_214630.1	COG1376
NP_214631.1	COG0583
NP_214632.1	COG0028
NP_214639.1	COG0265
NP_214648.1	COG2267
NP_214652.1	2F5RB
NP_214653.1	COG0451
NP_214656.1	COG0122
NP_214657.1	COG0038
NP_214658.1	COG1309
NP_214659.1	COG3315
NP_214660.1	COG3315
NP_214661.1	COG1012
NP_214662.1	COG1028
NP_214663.1	COG0604
NP_214680.1	COG0318
NP_214681.1	COG0767
NP_214682.1	COG0767
NP_214684.1	COG1463
NP_214685.1	COG1463
NP_214686.1	COG1463
NP_214687.1	COG1463
NP_214688.1	COG1463
NP_214690.1	COG1714
NP_214691.1	2AKBR
NP_214692.1	2BKHN
NP_214700.1	COG1472
NP_214702.1	2DUIA
NP_214703.1	COG0129
NP_214710.1	COG1309
NP_214720.1	COG2409
NP_214721.1	COG1432
NP_214722.1	COG0220
NP_214725.1	COG1274
NP_214726.1	COG1056
NP_214727.1	COG1032
NP_214734.1	COG0657
NP_214736.1	COG1024
NP_214737.1	COG1012
NP_214741.1	2B1K4
NP_214746.1	COG1309
NP_214747.1	COG0208
NP_214758.1	COG1960
NP_214763.1	2CEY7
NP_214764.1	2DP0M
NP_214765.1	COG0071
NP_214766.1	COG1251
NP_214767.1	COG2146
NP_214776.1	COG0454
NP_214777.1	COG1984
NP_214778.1	COG2049
NP_214781.1	COG2223
NP_214785.1	COG1960
NP_214790.1	COG3662
NP_214795.1	COG3315
NP_214796.1	COG0464
NP_214797.1	COG3266
NP_214798.1	COG1672
NP_214801.1	2A0FY
NP_214802.1	COG4842
NP_214803.1	2A0WB
NP_214804.1	2B6TZ
NP_214805.1	COG1404
NP_214806.1	2AP0J
NP_214808.1	COG4106
NP_214826.1	COG0443
NP_214831.1	COG0584
NP_214836.1	COG1004
NP_214847.1	2EQV0
NP_214850.1	COG1403
NP_214851.1	COG0436
NP_214852.1	COG0247
NP_214855.1	2DNCF
NP_214856.1	COG0699
NP_214857.1	COG0699
NP_214861.1	2EE42
NP_214862.1	2BXAD
NP_214863.1	2D5EC
NP_214864.1	COG0443
NP_214865.1	COG0576
NP_214867.1	COG0789
NP_214871.1	COG0104
NP_214877.1	COG0191
NP_214878.1	COG0586
NP_214898.1	COG0542
NP_214899.1	COG0543
NP_214906.1	COG1252
NP_214918.1	COG0318
NP_214919.1	COG3319
NP_214922.1	COG0280
NP_214923.1	COG0282
NP_214936.1	COG0351
NP_214942.1	COG0454
NP_214943.1	COG0242
NP_214944.1	2CUM0
NP_214945.1	2DP6P
NP_214946.1	COG2032
NP_214947.1	COG2170
NP_214953.1	COG1028
NP_214954.1	COG0459
NP_214964.1	COG1033
NP_214965.1	2BG05
NP_214966.1	COG1309
NP_214969.1	2ARRN
NP_214971.1	COG1505
NP_214972.1	COG1012
NP_214976.1	COG1249
NP_214978.1	COG2128
NP_214979.1	COG1396
NP_214982.1	COG1250
NP_214985.1	COG1575
NP_214989.1	2EBKM
NP_214990.1	2EHMU
NP_214991.1	2EB1C
NP_214992.1	COG0274
NP_214993.1	2E4QP
NP_214995.1	2ED3C
NP_214996.1	COG0812
NP_214997.1	COG1376
NP_214999.1	COG1940
NP_215002.1	COG1279
NP_215004.1	COG5002
NP_215005.1	COG0745
NP_215029.1	COG1403
NP_215030.1	COG1366
NP_215033.1	COG0627
NP_215038.1	COG0001
NP_215039.1	COG0406
NP_215040.1	COG0526
NP_215042.1	COG1333
NP_215065.1	COG0318
NP_215066.1	COG1574
NP_215077.1	COG0501
NP_215083.1	COG2905
NP_215084.1	COG0209
NP_215085.1	COG1073
NP_215086.1	2BGCK
NP_215087.1	COG1488
NP_215088.1	COG2843
NP_215090.1	COG0640
NP_215091.1	COG3324
NP_215098.1	COG3537
NP_215100.1	COG2186
NP_215101.1	COG0767
NP_215102.1	COG0767
NP_215105.1	COG1463
NP_215106.1	COG1463
NP_215107.1	COG1463
NP_215108.1	COG1463
NP_215111.1	COG1373
NP_215116.1	COG0745
NP_215134.1	COG0153
NP_215137.1	COG4423
NP_215143.1	COG0507
NP_215144.1	COG1074
NP_215149.1	COG2030
NP_215150.1	COG2030
NP_215151.1	COG2030
NP_215155.1	COG0081
NP_215156.1	COG2230
NP_215157.1	COG2230
NP_215158.1	COG2230
NP_215160.1	COG2267
NP_215161.1	COG0661
NP_215164.1	COG1940
NP_215165.1	COG0244
NP_215166.1	COG0222
NP_215169.1	COG1135
NP_215172.1	COG1266
NP_215181.1	COG0085
NP_215182.1	COG0086
NP_215183.1	KOG2232
NP_215184.1	COG0648
NP_215185.1	COG3509
NP_215186.1	COG1960
NP_215187.1	COG1024
NP_215188.1	COG3327
NP_215190.1	COG1033
NP_215191.1	2BG05
NP_215194.1	295VX
NP_215195.1	COG1309
NP_215196.1	COG0048
NP_215197.1	COG0049
NP_215199.1	COG0050
NP_215201.1	COG1028
NP_215206.1	COG0535
NP_215207.1	COG0535
NP_215208.1	COG1304
