gene_id	root_og
WP_000003759.1	COG0640
WP_000003870.1	COG2065
WP_000049921.1	COG0340
WP_000055337.1	COG4465
WP_000064078.1	COG0745
WP_000073195.1	COG1737
WP_000080028.1	COG0745
WP_000101976.1	COG0745
WP_000110007.1	COG0735
WP_000113265.1	COG4115
WP_000120603.1	COG0640
WP_000138218.1	COG0664
WP_000138932.1	COG1937
WP_000149344.1	COG0745
WP_000153535.1	COG2197
WP_000181402.1	COG0335
WP_000181832.1	COG1737
WP_000182645.1	COG3682
WP_000198598.1	COG1510
WP_000202390.1	COG2197
WP_000219066.1	COG1609
WP_000220507.1	COG1937
WP_000249497.1	COG0745
WP_000256319.1	COG1609
WP_000289215.1	COG1846
WP_000332063.1	COG0789
WP_000334463.1	COG0449
WP_000351761.1	COG0583
WP_000369214.1	COG3682
WP_000376235.1	COG1846
WP_000379098.1	COG1988
WP_000392691.1	COG0735
WP_000397416.1	COG1846
WP_000403915.1	COG0583
WP_000411298.1	COG1806
WP_000451438.1	COG1733
WP_000455988.1	COG0350
WP_000469833.1	COG1396
WP_000472302.1	COG1219
WP_000477989.1	COG1737
WP_000480800.1	COG2001
WP_000483052.1	COG0531
WP_000505015.1	COG3711
WP_000551762.1	COG4463
WP_000584499.1	COG2161
WP_000624945.1	COG0789
WP_000627144.1	COG1420
WP_000645452.1	COG3279
WP_000650082.1	COG1327
WP_000653261.1	COG1309
WP_000654030.1	COG2390
WP_000667382.1	COG1737
WP_000687412.1	COG0583
WP_000688492.1	COG3279
WP_000691584.1	COG1725
WP_000691774.1	COG0251
WP_000691839.1	COG0583
WP_000704122.1	COG1959
WP_000706315.1	COG2197
WP_000729744.1	COG1048
WP_000734075.1	COG0013
WP_000757880.1	COG1609
WP_000790331.1	COG1609
WP_000799248.1	COG1167
WP_000809131.1	COG1278
WP_000831055.1	COG1316
WP_000850015.1	COG0789
WP_000858967.1	COG0745
WP_000887022.1	COG1762
WP_000922320.1	COG2188
WP_000927371.1	COG1762
WP_000954271.1	COG1762
WP_000954654.1	COG1321
WP_000958531.1	COG0489
WP_000990133.1	COG1802
WP_001009516.1	COG0511
WP_001009692.1	COG0260
WP_001043863.1	COG0776
WP_001045135.1	COG2197
WP_001049165.1	COG0740
WP_001061264.1	COG0642
WP_001077635.1	COG1954
WP_001095260.1	COG0735
WP_001118675.1	COG2188
WP_001124985.1	COG1438
WP_001138360.1	COG0292
WP_001165363.1	COG4496
WP_001166500.1	COG0745
WP_001208755.1	COG1974
WP_001250038.1	COG0102
WP_001263796.1	COG0742
WP_001269643.1	COG0503
WP_001273085.1	COG0244
WP_001279338.1	COG0265
WP_001283612.1	COG2344
WP_001290433.1	COG0593
WP_001548538.1	COG1349
WP_001557168.1	COG1349
WP_001795316.1	COG1349
WP_001797828.1	COG0517
WP_010922808.1	COG1846
