gene_id	root_og
NP_064721.1	COG0593
NP_248724.1	COG2197
NP_248727.1	COG0583
NP_248823.1	COG0583
NP_248845.1	COG1414
NP_248857.1	COG1309
NP_248927.1	COG1414
NP_248959.1	COG1167
NP_248966.1	COG0664
NP_248970.1	COG0640
NP_248980.1	COG0583
NP_248985.1	COG1309
NP_249061.1	COG0742
NP_249094.1	COG2065
NP_249107.1	COG2207
NP_249115.1	COG1846
NP_249139.1	COG0583
NP_249147.1	COG1278
NP_249154.1	COG0745
NP_249166.1	COG1309
NP_249178.1	COG2005
NP_249218.1	COG0664
NP_249292.1	COG2197
NP_249343.1	COG0664
NP_249453.1	COG1595
NP_249454.1	COG3073
NP_249455.1	COG3026
NP_249456.1	COG3086
NP_249457.1	COG0265
NP_249470.1	COG0466
NP_249471.1	COG2207
NP_249473.1	COG0506
NP_249505.1	COG0251
NP_249548.1	COG0271
NP_249564.1	COG3283
NP_249568.1	COG0583
NP_249584.1	COG4977
NP_249594.1	COG0013
NP_249596.1	COG1551
NP_249604.1	COG2239
NP_249619.1	COG0642
NP_249686.1	COG0350
NP_249694.1	COG0583
NP_249741.1	COG3835
NP_249783.1	COG1344
NP_249788.1	COG2204
NP_249790.1	COG2204
NP_249848.1	COG0745
NP_249870.1	COG0745
NP_249871.1	COG0642
NP_249873.1	COG2207
NP_249887.1	COG3829
NP_249920.1	COG2207
NP_249989.1	COG1937
NP_250104.1	COG0583
NP_250113.1	COG0583
NP_250121.1	COG2771
NP_250145.1	COG0455
NP_250181.1	COG1349
NP_250235.1	COG0664
NP_250253.1	COG1048
NP_250318.1	COG2186
NP_250328.1	COG0745
NP_250401.1	2F0XM
NP_250404.1	COG2207
NP_250405.1	2APS1
NP_250445.1	COG0583
NP_250450.1	COG2909
NP_250460.1	COG1806
NP_250466.1	COG0668
NP_250490.1	COG0745
NP_250492.1	COG0740
NP_250493.1	COG1219
NP_250494.1	COG0466
NP_250495.1	COG0776
NP_250541.1	COG4977
NP_250544.1	COG0583
NP_250639.1	COG1609
NP_250668.1	COG2197
NP_250688.1	COG0583
NP_250700.1	COG1414
NP_250706.1	COG0789
NP_250710.1	COG1309
NP_250718.1	COG1522
NP_250737.1	COG4977
NP_250744.1	COG0583
NP_250772.1	COG1522
NP_250786.1	COG2207
NP_250790.1	COG1167
NP_250808.1	COG0350
NP_250811.1	COG0583
NP_250886.1	COG1309
NP_250910.1	COG0583
NP_250917.1	COG2207
NP_250941.1	28K85
NP_250948.1	COG0583
NP_250949.1	COG1609
NP_250963.1	COG0789
NP_250967.1	COG0640
NP_250989.1	COG2188
NP_251002.1	COG1396
NP_251010.1	COG1609
NP_251078.1	COG3712
NP_251122.1	COG0583
NP_251139.1	COG3283
NP_251157.1	COG3712
NP_251158.1	COG1595
NP_251182.1	COG0583
NP_251200.1	COG0583
NP_251201.1	COG2207
NP_251213.1	COG0745
NP_251267.1	COG1522
NP_251276.1	COG2197
NP_251347.1	COG0745
NP_251355.1	COG3604
NP_251357.1	2EE2X
NP_251428.1	COG0776
NP_251431.1	COG0292
NP_251499.1	COG0745
NP_251530.1	COG0513
NP_251536.1	COG0583
NP_251575.1	COG1309
NP_251585.1	2B17W
NP_251586.1	COG1595
NP_251621.1	COG1309
NP_251697.1	COG1974
NP_251851.1	COG0776
NP_251864.1	COG1414
NP_251874.1	COG1737
NP_251882.1	COG0745
NP_251894.1	COG0745
NP_251905.1	COG2207
NP_251907.1	COG2114
NP_251956.1	COG1278
NP_252031.1	COG1846
NP_252033.1	COG2199
NP_252035.1	COG2198
NP_252037.1	COG1366
NP_252041.1	COG2747
NP_252075.1	2EHWU
NP_252088.1	COG0583
NP_252123.1	COG0583
NP_252167.1	COG2771
NP_252171.1	COG0489
NP_252198.1	COG1414
NP_252253.1	COG1609
NP_252261.1	COG1917
NP_252264.1	COG1309
NP_252273.1	COG1349
NP_252277.1	COG0583
NP_252294.1	COG2197
NP_252379.1	COG0789
NP_252403.1	COG2197
NP_252410.1	COG1309
NP_252431.1	COG0335
NP_252446.1	COG2188
NP_252504.1	COG1959
NP_252519.1	COG1917
NP_252520.1	COG0260
NP_252553.1	COG2964
NP_252568.1	COG2197
NP_252587.1	COG4977
NP_252637.1	COG2197
NP_252661.1	COG1960
NP_252663.1	COG0784
NP_252710.1	COG3284
NP_252746.1	COG1327
NP_252759.1	COG2207
NP_252790.1	COG0745
NP_252798.1	COG0583
NP_252836.1	COG3284
NP_252854.1	COG1167
NP_252871.1	COG2808
NP_252886.1	COG2202
NP_252962.1	COG0244
NP_252970.1	COG0340
NP_253005.1	2EE2X
NP_253012.1	COG0714
NP_253031.1	COG1414
NP_253044.1	COG0640
NP_253053.1	COG0583
NP_253111.1	COG2001
NP_253123.1	COG0102
NP_253136.1	COG0265
NP_253183.1	COG4567
NP_253184.1	COG4191
NP_253215.1	COG4969
NP_253237.1	COG2204
NP_253271.1	COG4650
NP_253286.1	COG1309
NP_253383.1	COG0440
NP_253413.1	COG0591
NP_253414.1	COG2204
NP_253452.1	COG0735
NP_253457.1	COG2186
NP_253464.1	COG0745
NP_253465.1	COG0642
NP_253466.1	COG0789
NP_253534.1	COG0511
NP_253540.1	COG2901
NP_253565.1	COG0789
NP_253577.1	COG1309
NP_253593.1	COG1802
NP_253631.1	COG1923
NP_253670.1	COG0745
NP_253716.1	COG0583
NP_253772.1	COG0583
NP_253844.1	COG1846
NP_253853.1	COG2204
NP_253866.1	COG0583
NP_253887.1	COG0745
NP_253940.1	COG1143
NP_253942.1	COG3160
NP_253948.1	COG3279
NP_253949.1	COG2972
NP_253988.1	COG0662
NP_253995.1	COG1522
NP_254019.1	COG0708
NP_254026.1	COG0251
NP_254031.1	COG0583
NP_254043.1	COG2186
NP_254047.1	COG0745
NP_254061.1	COG1309
NP_254067.1	COG4977
NP_254076.1	COG4977
NP_254115.1	COG0583
NP_254125.1	COG1737
