gene_id	root_og
NP_214515.1	COG0593
NP_214631.1	COG0583
NP_214658.1	COG1309
NP_214704.1	COG1937
NP_214710.1	COG1309
NP_214726.1	COG1056
NP_214774.1	COG1587
NP_214816.1	COG1309
NP_214862.1	2BXAD
NP_214867.1	COG0789
NP_214959.1	COG1595
NP_214979.1	COG1396
NP_214999.1	COG1940
NP_215005.1	COG0745
NP_215090.1	COG0640
NP_215100.1	COG2186
NP_215116.1	COG0745
NP_215165.1	COG0244
NP_215186.1	COG1960
NP_215249.1	COG1595
NP_215271.1	COG0745
NP_215307.1	COG2188
NP_215333.1	COG0745
NP_215338.1	COG0042
NP_215359.1	COG2197
NP_215482.1	COG1937
NP_215543.1	COG0745
NP_215549.1	COG0745
NP_215737.1	COG1595
NP_215745.1	COG0489
NP_215782.1	COG0515
NP_215783.1	COG1716
NP_215803.1	COG1959
NP_215832.1	COG0350
NP_215859.1	COG1566
NP_215873.1	COG2200
NP_215875.1	COG2114
NP_215895.1	COG2065
NP_215920.1	COG1846
NP_215991.1	COG1048
NP_216159.1	COG0292
NP_216173.1	COG1438
NP_216191.1	COG0664
NP_216235.1	COG1414
NP_216301.1	COG2124
NP_216362.1	COG3682
NP_216447.1	COG4977
NP_216472.1	COG1396
NP_216479.1	COG1309
NP_216501.1	COG0583
NP_216506.1	2AF64
NP_216510.1	COG0640
NP_216533.1	COG1396
NP_216537.1	COG1396
NP_216550.1	COG0640
NP_216682.1	COG2001
NP_216691.1	2E0H9
NP_216729.1	COG0260
NP_216840.1	COG1522
NP_216874.1	COG0640
NP_216875.1	COG0735
NP_216890.1	COG1420
NP_216973.1	COG1219
NP_216976.1	COG0740
NP_217071.1	COG0013
NP_217185.1	COG0454
NP_217206.1	COG0531
NP_217220.1	COG0251
NP_217227.1	COG1321
NP_217234.1	COG1327
NP_217261.1	COG1396
NP_217304.1	COG1321
NP_217420.1	COG0335
NP_217518.1	COG0440
NP_217596.1	COG0515
NP_217598.1	COG2207
NP_217649.1	COG2197
NP_217680.1	COG0714
NP_217739.1	COG1595
NP_217763.1	COG0745
NP_217796.1	COG0340
NP_217808.1	COG1522
NP_217851.1	COG0789
NP_217874.1	COG2161
NP_217875.1	COG4115
NP_217933.1	2CC1Y
NP_217953.1	COG0449
NP_217960.1	COG0102
NP_218074.1	COG1309
NP_218092.1	COG1609
NP_218165.1	COG1278
NP_218193.1	COG0664
NP_218195.1	COG0251
NP_218209.1	COG0714
NP_218261.1	COG0640
NP_218350.1	COG1917
NP_218366.1	COG1476
NP_218372.1	COG1309
NP_215008.2	COG2186
YP_177808.1	COG2207
NP_217295.2	COG1522
YP_177917.1	COG0028
NP_218198.2	2CC1Y
NP_217236.2	COG1974
NP_215496.2	COG0745
NP_216425.2	COG0735
NP_218091.3	COG1309
