gene_id	root_og
NP_387882.1	COG0593
NP_387883.1	COG0592
NP_387885.1	COG1195
NP_387887.1	COG0187
NP_387888.1	COG0188
NP_387890.1	COG0516
NP_387892.1	COG0214
NP_387893.1	COG0311
NP_387897.1	COG1388
NP_387899.1	COG0590
NP_387918.1	COG2002
NP_387919.1	COG0073
NP_387928.1	COG0503
NP_387929.1	COG0251
NP_387930.1	COG2088
NP_387931.1	COG1207
NP_387932.1	COG0462
NP_387937.1	COG2002
NP_387938.1	COG2244
NP_387939.1	COG1694
NP_387940.1	COG1188
NP_387941.1	2E3ZZ
NP_387942.1	2BYDV
NP_387943.1	COG2919
NP_387944.1	COG1098
NP_387945.1	COG2208
NP_387954.1	COG0031
NP_387955.1	COG0147
NP_387956.1	COG0512
NP_387958.1	COG0294
NP_387960.1	COG0801
NP_387963.1	COG1190
NP_387964.1	COG4463
NP_387965.1	COG3880
NP_387966.1	COG3869
NP_387967.1	COG0542
NP_387968.1	COG1066
NP_387969.1	COG1623
NP_387971.1	COG1211
NP_387979.1	COG1595
NP_387986.1	COG0222
NP_387996.1	COG0051
NP_387997.1	COG0087
NP_387998.1	COG0088
NP_388001.1	COG0185
NP_388002.1	COG0091
NP_388004.1	COG0197
NP_388005.1	COG0255
NP_388006.1	COG0186
NP_388007.1	COG0093
NP_388008.1	COG0198
NP_388009.1	COG0094
NP_388010.1	COG0199
NP_388012.1	COG0097
NP_388014.1	COG0098
NP_388015.1	COG1841
NP_388016.1	COG0200
NP_388031.1	COG0103
NP_388033.1	2BVDP
NP_388034.1	COG0860
NP_388035.1	COG0489
NP_388036.1	29HQ2
NP_388037.1	COG2194
NP_388038.1	COG0726
NP_388043.1	COG0609
NP_388044.1	COG0614
NP_388045.1	COG0614
NP_388046.1	COG3876
NP_388047.1	COG1472
NP_388050.1	COG1737
NP_388051.1	COG2103
NP_388054.1	COG1595
NP_388055.1	COG5662
NP_388058.1	COG1109
NP_388059.1	COG0449
NP_388061.1	COG0122
NP_388062.1	COG2169
NP_388063.1	COG0350
NP_388070.1	COG0477
NP_388077.1	COG1131
NP_388083.1	COG0642
NP_388086.1	2ET76
NP_388087.1	28KQP
NP_388088.1	COG1113
NP_388089.1	2C58K
NP_388090.1	2E4N3
NP_388095.1	COG0584
NP_388096.1	COG2271
NP_388103.1	COG0697
NP_388104.1	COG1917
NP_388105.1	COG0027
NP_388106.1	COG3591
NP_388111.1	COG0688
NP_388113.1	COG2312
NP_388114.1	COG2207
NP_388115.1	COG1054
NP_388117.1	COG1263
NP_388118.1	COG0363
NP_388119.1	COG2188
NP_388121.1	COG0115
NP_388125.1	COG2066
NP_388129.1	COG1012
NP_388134.1	COG3173
NP_388149.1	COG0477
NP_388150.1	COG1309
NP_388151.1	COG0252
NP_388152.1	COG1075
NP_388157.1	COG4555
NP_388158.1	COG1668
NP_388160.1	2CEN8
NP_388164.1	COG0457
NP_388167.1	COG0803
NP_388168.1	COG1121
NP_388169.1	COG1108
NP_388177.1	COG0477
NP_388191.1	COG1280
NP_388202.1	COG0506
NP_388209.1	COG0492
NP_388210.1	COG0007
NP_388211.1	COG2146
NP_388212.1	COG1251
NP_388218.1	COG0523
NP_388222.1	28P1F
NP_388224.1	295FN
NP_388227.1	COG0794
NP_388228.1	COG0269
NP_388234.1	COG3208
NP_388238.1	COG1167
NP_388244.1	COG0583
NP_388245.1	COG0163
NP_388246.1	COG0043
NP_388250.1	COG5434
NP_388252.1	COG0697
NP_388253.1	2DBJR
NP_388254.1	COG1457
NP_388255.1	COG1136
NP_388257.1	COG0745
NP_388258.1	COG3850
NP_388259.1	COG0457
NP_388261.1	COG0527
NP_388262.1	COG4606
NP_388263.1	COG4605
NP_388264.1	COG4604
NP_388265.1	COG4607
NP_388266.1	COG0477
NP_388268.1	COG0778
NP_388269.1	COG1359
NP_388270.1	COG0640
NP_388271.1	COG1167
NP_388272.1	COG0160
NP_388273.1	COG1012
NP_388274.1	COG4975
NP_388275.1	COG1028
NP_388276.1	COG4549
NP_388278.1	COG1349
NP_388292.1	COG2755
NP_388297.1	COG3711
NP_388306.1	COG1522
NP_388313.1	COG0531
NP_388315.1	COG0028
NP_388317.1	COG1914
NP_388326.1	COG3290
NP_388327.1	COG4565
NP_388328.1	COG1301
NP_388329.1	COG0628
NP_388333.1	COG1960
NP_388334.1	29SEI
NP_388338.1	COG0770
NP_388345.1	COG0787
NP_388352.1	COG1366
NP_388353.1	COG2172
NP_388355.1	COG2208
NP_388358.1	COG1846
NP_388364.1	2A77Z
NP_388380.1	2ESSR
NP_388394.1	COG1329
NP_388397.1	COG0697
NP_388401.1	2E0VF
NP_388403.1	291NR
NP_388404.1	COG0697
NP_388405.1	COG1167
NP_388414.1	COG0640
NP_388415.1	COG1055
NP_388419.1	COG1853
NP_388420.1	COG0640
NP_388424.1	COG2409
NP_388426.1	COG1811
NP_388429.1	COG0778
NP_388430.1	COG0346
NP_388431.1	COG2259
NP_388434.1	COG2323
NP_388435.1	COG2323
NP_388436.1	COG0071
NP_388437.1	2EQG8
NP_388438.1	2EQG8
NP_388444.1	COG2318
NP_388445.1	COG1846
NP_388446.1	COG1033
NP_388454.1	299QV
NP_388460.1	COG1388
NP_388462.1	COG1440
NP_388464.1	COG1455
NP_388465.1	COG2723
NP_388466.1	COG2188
NP_388467.1	COG1940
NP_388468.1	COG1482
NP_388475.1	COG0533
NP_388477.1	COG0315
NP_388480.1	COG0805
NP_388482.1	COG1266
NP_388484.1	COG0459
NP_388487.1	COG0270
NP_388488.1	COG0270
NP_388495.1	COG0457
NP_388496.1	COG1063
NP_388497.1	COG2211
NP_388499.1	COG1842
NP_388500.1	COG1198
NP_388501.1	COG1512
NP_388502.1	COG4260
NP_388504.1	COG0477
NP_388505.1	COG1063
NP_388506.1	COG0797
NP_388511.1	COG2132
NP_388518.1	COG2252
NP_388524.1	COG0041
NP_388526.1	COG0015
NP_388527.1	COG0152
